編號,來源,漢字
2258,連續動詞,無無無，這一切攏是誤會啦。
2259,連續動詞,乖乖乖！免著急，慢慢仔講乎！
2260,連續動詞,著著著！就是彼个屜仔啦
2261,連續動詞,是是是，聽講阮翁嘛是予老師你指導
2262,連續動詞,羞羞羞，袂見笑
2263,連續動詞,請請請，內面坐啦。
2264,連續動詞,緊緊緊，來去奉茶！
2265,連續動詞,讚讚讚！有影讚乎！
2266,連續動詞,閃閃閃，莫來共我吵啦。
2267,連續動詞,一工到暗踮遐亂亂亂，齪死人！
2268,連續動詞,落尾就沐沐沐酒矸仔泅，規身人沉落海底矣！
2269,連續動詞,都趕欲上班矣，猶是電話中嘟嘟嘟的聲。
2270,連續動詞,行行行！無行袂出名。
2271,連續動詞,食食食，做你食。
2272,連續動詞,挲挲挲，像咧耍黏塗咧！
2273,連續動詞,干焦會曉哭哭哭，吵死人矣！
2274,連續動詞,警報若響，就愛衝衝衝，水裡來，火裡去，佇暗趖趖的火場內底向腰咧行。
2275,連續動詞,對頭起先遮幾个人，一直做做做到規模遮爾大，
2276,連續動詞,來來來，看看看，先來先看，慢來你就無地看。
2277,連續動詞,有有有，這个有掛目鏡。
2278,"針,tserm(文)",一人一个心，無錢通買針。
2279,,啊咱兜的 阿針 變大箍矣咧！
2280,,所以講 何合針 你嘛毋免傷勉強喔！
2281,,橫直 簡有針 你一定愛共#洋平#會失禮才會用得喔！
2282,,咱就決定莫去接 彭西針。
2283,,主要是針對加護病房，以及頭部腫瘤的患者來進行。
2284,,假使 游針衣 講的是誠實的，我毋就共人冤枉--矣
2285,,「針針牌測速器」全國各大汽車材料行攏有咧賣。
2286,,敢若是昨昏伊的球隊拜託 尤針茫 去做救援，
2287,,若是姜針書，棍仔一枝就有夠矣！
2288,"參,serm",伊逐改送禮，攏是大出手，毋是大鮑魚就是高麗參。
2289,,人參是烏面賊，咱無內行，若拄著生份人來推銷，毋通買。
2290,,食毋著藥，人參一石。
2291,,有人見頭三分參，第一箸就夾去。
2292,,小飲小人參，大飲誤了身。
2293,,你去煎一杯人參茶予我。
2294,,這款貴參參的物件你曷買會落去！
2295,,有機的物件是貴參參。
2296,,人參茶來囉趁燒著來哈落。
2297,,是欲做甜粿才會當買貴參參的椪柑呢。
2298,,用參仔侹身體。
2299,,伊參仔氣帶真重。
2300,,交朋友咱嘛袂當激一个參仔氣。
2301,,候選人莫傷參仔氣，人投票才投會lueh。
2302,,參仔有較補，一改𤉙一拄仔就好。
2303,"森,serm",Youtube內底有講，彼時陣彰化知縣是楊佳森。
2304,,彼个所在充滿著陰森佮恐怖！
2305,,洞內陰森森有鬼呢，阿兄。
2306,,你是 徐平森 的朋友諾？
2307,,世森 走去佗位矣？
2308,,頂禮拜日透早我就共細漢囝森博挖起來。
2309,,沿路就有森林步道通行踏。
2310,,阮兜出去就是嘉義上有名的林森路。
2311,,以前的「羅東森林鐵道」是連結羅東竹林佮太平山林場的主要路線。
2312,,咱遮嘛有古早冰河期留落來的森氏杜鵑。
2313,"鍼,tserm(文)",彼敢毋是 高守鍼 一直提咧的袋仔？
2314,,伸鍼 你看覓。
2315,,天鍼 你閣愛比賽呢！
2316,,帆鍼，我足煩惱你的！
2317,,知鍼！我誤會你矣！
2318,,我用的是 鍼長生技公司上新的產品，毋才會瘦！
2319,,鍼星科技公司負責人黃東榮先生表示，Ua-sá-bih齒膏是公司產品內底銷路上好--ê，絕對無過期貨底提出來賣這款代誌。
2320,,這場雨是 鍼流 你𤆬來的，是無？
2321,,鍼夏伊誠無意思。
2322,,若按呢就順紲共阮 郭鍼陽 小教一下，
2323,"簪,tserm(文)",干焦 柯見簪 我就接載袂牢喔！
2324,,董事長佮小姐佮恁老爸攏歡喜你娶 莉簪 轉來。
2325,,這馬啥人若是徛佇 思簪 彼爿，我就予伊好看。
2326,,我是董青簪！
2327,,今仔日 恩簪 小姐帶病來獻唱。
2328,,紲落來是 簪夢 佮 簪雨 鬥陣走呢！
2329,,想袂到咱兜的吳簪棟今仔日透早遮有個性喔！
2330,,猶毋過我真確定彼毋是簪菊你寫的啊！
2331,,討厭！討厭！討厭！我上討厭簪廣！
2332,,運簪牌洩火寶，腹內火攏共你洩甲無。
2333,"節,tsereh(白)",拜三中秋節今仔過，表示今年嘛欲結束矣。
2334,,五日節啉一喙午時水，比食三年的補藥閣較有效。
2335,,猶未嫁翁的女性攏會佇元宵節暗暝去偷挽物件來討好吉兆。
2336,,無冬節都挲圓，冬節哪會無挲圓。
2337,,五月節是臺灣的一个節日仔。
2338,,「未食五日節粽，毋知鄉愁遐爾重」。
2339,,俗語講：「冬節圓仔食落加一歲。」
2340,,冬節暝，夏至日。
2341,,伊是深海蝦，受著地方海相影響，掠量無季節性，致使胭脂蝦毋是大眾化的海味。
2342,,年節時仔愛攢三牲來拜拜。
2343,,欲食白米飯，著愛等破病、拜拜抑是年仔節仔。
2344,,年節仔若到，規庄頭攏足鬧熱的。
2345,,阮兜年節仔攏會kā地基主拜。
2346,,年節仔欲到--矣，緊來市仔買菜。
2347,,初一十五年節仔時，廟裡活動我決定去--的。
2348,"夾,gereh(白)",愛食啥家己夾。
2349,,馬薯真正足滑足歹夾的。
2350,,彼堆火欲化去矣，你緊去提火夾來挓火。
2351,,嘛會用得一粒仔一粒共夾起來喔。
2352,,青菜青菜，共你夾起來。
2353,,逐家共椅仔小促較倚一下，較好夾菜。
2354,,伊看著厝邊林阿姨倚佇𪜶兜的門口，雙手劫夾肱(kiap-gereh-kong)，喙閣咬一枝空心的紙捲當做咧食煙。
2355,,夾一寡醬菜佇糜面頂。
2356,,扒飯夾菜由在你。
2357,,但是真歹運，伊的厝拄拄夾佇拍鐵佮拍銅的中央。
2358,,有的攑掃梳，有的提夾仔，佇遐摒掃路面佮水溝，
2359,,你去五金行買一支虎頭夾仔好--無？
2360,,無就是提塑膠橐仔和火夾仔，那捏鼻仔那抾狗屎。
2361,,頭家，恁遮敢有咧賣火夾仔？
2362,,火夾仔阮有咧賣，佇後尾門遐。
2363,"夾,kereh(白)",就按呢箸伸出去，長年菜夾起來。
2364,,彼人客看著是美國火雞，按呢逐家相爭夾。
