編號,來源,漢字
1,對比句_用族語寫公文 蔡英文-原住民轉型正義伐大步,多元文化欲受人肯定， 語言佇公領域的呈現是真重要的開始。
2,對比句_用族語寫公文 蔡英文-原住民轉型正義伐大步,這馬是原住民族語， 向望未來客家語、臺語攏有機會。
3,對比句_用族語寫公文 蔡英文-原住民轉型正義伐大步,屏東縣長潘孟安七月十八嘛表示， 第一份Rukai族語公文結合屏東縣推捒的恢復傳統名姓，特別有意義。
4,對比句_用族語寫公文 蔡英文-原住民轉型正義伐大步,總統蔡英文嘛佇面冊分享一份對花蓮縣光復鄉公所發出來，用Pangcah寫的， 欲通知族人來領土地權利證明書的公文。
5,tshua-thuan,你坐佗一隻飛行機？
6,tshua-thuan,這馬欲開始登機，A八空二班機的旅客，請到第一區排隊登機。
7,tshua-thuan,坐頭等位的旅客，請到第三區登機。
8,tshua-thuan,登機了後，行到你的位，共行李囥起去坐位頂面的櫥仔。
9,tshua-thuan,隨身行李請囥佇坐位下底的椅仔跤。
10,tshua-thuan,安全帶縖予好，等待起飛。
11,tshua-thuan,這馬欲起飛a，安全帶縖予好，莫離開家己的位。
12,tshua-thuan,紲落來欲來紹介飛行機的安全設備，逃生門佇飛行機的兩爿，sàng-sòo罨佇頭殼頂，救生衣佇椅仔跤。
13,tshua-thuan,若是拄著特殊的狀況，機長會共sàng-sòo拍開，sàng-sòo罨會對面頂落落來，請共sàng-sòo罨掛予好。
14,tshua-thuan,若是有𤆬囡仔，請先共家己的sàng-sòo掩掛予好，先確定家己吸有sàng-sòo，才替囡仔掛。
15,tshua-thuan,若飛行機不得已落飛佇海頂，請逐家愛穿救生衣。救生衣佇椅仔跤，先穿入去，才共鈕起來，上尾用喙歕風歕予飽，歕甲膨起來就會使。
16,tshua-thuan,飛行機飛到十公里懸的時，機長會關掉安全帶指示燈。若有著便所的旅客，到時就會當共安全帶剝開，其他的旅客若無特別需要，就繼續共安全帶縖予好，通保護家己的安全。
17,tshua-thuan,若拄著亂流，請逐家緊坐予好，安全帶緊共縖予絚。
18,tshua-thuan,欲飛東京的B三空四班機，會延半點鐘才開始登機。
19,tshua-thuan,欲飛往香港的班機，登機欲煞矣，請旅客張阿火佮李阿水緊來登機。
20,tshua-thuan,敢有旅客欲坐XZ八六五班機，登機門咧欲關囉。
21,tshua-thuan,各位師兄師姊，咱這馬踮遮歇睏一下，我去辦理登機的手續，半點鐘後，來遮相等。
22,tshua-thuan,各位先生小姐，咱這馬來到出境大廳，我這馬去check-in，需要三十分鐘。請逐家行李集中，請專人來顧。
23,tshua-thuan,若有需要，利用這半點鐘去便所、換錢佮買保險，趁這半點鐘緊去辦辦咧。
24,tshua-thuan,半點鐘若到，逐家才來遮相等。
25,tshua-thuan,阮手續若辦好，會予逐家護照、登機證。逐家攏提著證件了後，才來寄行李。行李托運好，咱才來過海關佮安全檢查，上尾入去候機室。
26,tshua-thuan,猶閣有時間，逐家會當去踅免稅商店，才去候機室等待登機。
27,tshua-thuan,登機的時，護照佮登機證攢予好勢，咱這回桃園飛東京，愛三點半鐘，請逐家注意安全，互相照顧。
28,tshua-thuan,過海關進前，有水抑是別款超過一百CC的液體，攏愛倒掉。有lài-tah、刀仔抑是別的違禁品的，請主動擲掉，袂使紮佇身軀頂。
29,tshua-thuan,海關通過了後，才去候機室相等。時間若有較冗，會當去踅免稅街。
30,tshua-thuan,閣十五分鐘就到高雄ā，咱準備欲落飛a。請逐家坐轉去家己的位，坐予好，共安全帶閣縖轉去，袂使閣去便所。
31,tshua-thuan,感謝旅客坐阮長榮航空公司的班機，期待再相會。
32,tshua-thuan,這馬高雄氣溫二十七度，有落毛毛仔雨，祝逐家旅途歡喜。
33,tshua-thuan,逐家攏到矣，咱來去停車場上車。
34,tshua-thuan,我是恁這八工的導遊，我號做賴麗格，叫我阿格就好。咱這馬欲離開機場，先去員林hoo-thé-luh歇睏。
35,tshua-thuan,登機時間到矣，逐家緊去候機室準備。登機進前，愛先攢好護照佮登機證，照順序排隊。檢查了才來登機。
36,tshua-thuan,飛行機若坐到位，請逐家照前後落機，到空橋的時，請逐家佇空橋出口遐歇睏、相等。
37,tshua-thuan,逐家攏到的時，咱才同齊出海關，領行李。
38,tshua-thuan,領行李的時，逐家互相一下，看著咱這團的行李，請鬥共捾落來。
39,tshua-thuan,出境了後，在地的導遊會來接機。到時咱人佮行李綴伊的跤步，聽伊的安排去坐車，開始咱這擺的𨑨迌。
40,tshua-thuan,歡迎台灣的朋友，來阮日本𨑨迌。我是導遊阿傑，這九工的行程，我攏會佮逐家做伙。
41,tshua-thuan,各位朋友若有啥物所在需要我鬥相共，請隨共我講，我盡量來處理。
42,tshua-thuan,這幾工替咱駛車的ùn-tsiàng是劉生，駛車的經驗誠濟、誠資深，技術又閣好，逐家會當放心。逐家噗仔聲催lueh，共司機感謝一下。
43,tshua-thuan,咱這馬差不多是食飯的時間，這个餐廳是三義有名的餐廳，伊的炕肉誠特別。
44,tshua-thuan,愛閣半點鐘才會到餐廳，逐家這馬會當欣賞外口的景緻。
45,tshua-thuan,咱餐廳佇頭前正手爿，因為遮車袂使停傷久，逐家緊落車。落車了後，綴我入去二樓食飯。
46,tshua-thuan,食飽了後，逐家轉來酒店歇睏。
47,tshua-thuan,逐家食有飽無？食會合無？逐家若有啥意見，阮會當吩咐餐廳準備。
