編號,來源,漢字
2038,三連音,來乎，共食甲空空空。
2039,三連音,阮媽一絞落去了後，經過年外外外的時間，才知影講，原來這是連動債。
2040,三連音,啊你頭家娘乎，一定彼號後斗按呢肥肥肥圓kùn-kùn
2041,三連音,共硩甲按呢扁扁扁，啊一塊敢若枋仔的。
2042,三連音,看到遮，觀眾印象深深深。
2043,三連音,對台灣頭到台灣尾，共土地清甲空空空。
2044,三連音,遮是一片荒荒荒，哪有啥樹林！
2045,三連音,白頭鵠仔𪜶頭殼頂彼撮毛白白白，有夠媠。
2046,三連音,十二月霆雷，司公尪姨食甲肥肥肥。
2047,三連音,爸母生活費款甲夠夠夠。
2048,三連音,結果逐擺嘛是講甲著著著，逐斗都準準準。
2049,三連音,熱天就是愛食涼涼涼、水水水的西瓜。
2050,三連音,頭尾舞差不多點半鐘才共窒路的柴箍徙甲離離離。
2051,三連音,內底倚桌就坐甲滇滇滇。
2052,三連音,台灣人的感情是厚厚厚。
2053,三連音,觀眾就共現場𤲍甲插插插。
2054,三連音,耳仔徛甲直直直。
2055,三連音,臺灣人厚厚厚的人情味。
2056,三連音,做伙食一頓燒燒燒、芳芳芳的飯，實在真感恩。
2057,三連音,啊！鴨仔聽雷！聽甲戇戇戇！
2058,三連音,規盤誠緊就齧甲光光光，閣呵咾甲會觸舌。
2059,三連音,一幅畫卷長長長--的。
2060,三連音,醒--來地動停--矣，天清清清。
2061,三連音,是共遮的資訊透過衛星連線成做一个峇峇峇的監查系統。
2062,三連音,我咧想，平常時的生活嘛愛共過予媠媠媠。
2063,三連音,這擺我一定欲予你輸甲服服服。
2064,三連音,這陣阮阿嬸捀一鍋冰甲涼涼涼的米篩目來竹跤予逐家食。
2065,三連音,直直直，若刀削--的，山面光禿禿，照著日，反射若一塊鏡。
2066,三連音,實在是鬥甲峇峇峇。
2067,三連音,十五外个穿鄭姓兵仔衫的兵仔，已經啉甲醉醉醉。
2068,三連音,規欉花蕊生甲密密密，白雪雪。
2069,三連音,這馬一步一步行入去家己食甲空空空的烏樹林內底。
2070,三連音,𪜶就按呢，共鄭成功拍甲塗塗塗。
2071,三連音,路燈將規條巷仔路照甲光光光。
2072,三連音,謼！海邊仔的人插插插。
2073,三連音,明仔載阮會耍甲暗暗暗才離開虎尾。
2074,三連音,兩爿岸邊的草埔仔青青青。
2075,三連音,彼真正是人山人海，𤲍甲洘洘洘，人濟甲親像狗蟻咧。
2076,三連音,伊的手機仔充電充甲飽飽飽，按算出門擋規工。
2077,三連音,請你食塗豆，予你食甲老老老。
2078,三連音,一四界行透透閣會當開甲媠媠媠。
2079,三連音,亂操操的鐵籠仔疊甲懸懸懸，lok-koh-sok-koh的物件鎮甲規四界。
2080,三連音,等日頭曝一站仔，就愛閣攑耙柫共尖尖的粟仔耙予平平平。
2081,三連音,規欉樹仔的蜂密密密，沾花採蜜，無一時閒。
2082,三連音,拄著透大風，花蕊就會予風吹甲懸懸懸，若像尾蝶仔咧跳舞仝款。
2083,三連音,入去捷運站，我是看甲目睭花花花
2084,三連音,原本囤甲滇滇滇攏是做好等欲交工廠的電子零件，現此時已經清甲空空空，
2085,三連音,伊目睭看對遠遠遠的窗仔門外，想起較早的代誌。
2086,三連音,這馬食苦瓜封，是阮對阿母深深深的思念
2087,三連音,懸懸懸的鐵枋共倚安全島的雙爿圍起來，予駛車的人感覺倒手爿親像有山崁
2088,三連音,看著春美仔就學蝦仔倒彈噴甲遠遠遠。
2089,三連音,這通電話予敏仔佮宣仔驚甲袂顧得擔頭人客插插插：
2090,三連音,喙脣吊十七兩豬肉，翹翹翹。
2091,三連音,想欲抱你抱甲絚絚絚
2092,三連音,敢若有一个大大大的物件飛過去的形。
2093,三連音,這是媠媠媠的水晶。
2094,三連音,日頭赤焱焱，共土地曝甲焦焦焦
2095,三連音,去共這間百年老店交關一下，因為伊有厚厚厚的臺灣味。
